H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H3+         C5H2                    C5H3+       H2                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C5H2                    C6H+        H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
C+          C5H2                    C6+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
H+          CH3C4H                  CH3C4H+     H                                   2.00E-09     0.00      0.0   10.  300.  5 C CE
NH          Si+                     SiN+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        HNSi                    SiNH2+      CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         HNSi                    SiNH2+      H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
HCN         Si+                     SiNCH+                                          6.00E-15    -1.50      0.0   10.  300.  5 B RA
HCO+        C4H3                    C4H4+       CO                                  9.00E-10     0.00      0.0   10.41000.  5 B IN
H3+         C4H3                    C4H4+       H2                                  2.30E-09     0.00      0.0   10.  300.  5 B IN
H3O+        C4H3                    C4H4+       H2O                                 1.00E-09     0.00      0.0   10.41000.  5 A IN
C4H4+       E-                      C4H3        H                                   3.30E-07    -0.50      0.0   10. 1000.  5 A DR
N           C9H4+                   H3C9N+      H                                   1.00E-10     0.00      0.0   10.41000.  5 C IN
H3O+        CH3CCH                  C3H5+       H2O                                 1.80E-09     0.00      0.0   10.41000.  5 A IN
HCO+        CH3CCH                  C3H5+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
CH3CCH                              CH3CCH+     E-                                  1.30E-17     0.00   2652.5   10.41000.  2 C CR
H3+         CH3CCH                  H2C3H+      H2          H2                      2.25E-09     0.00      0.0   10.41000.  5 A IN
CO          HNO+                    NO          HCO+                                1.00E-10     0.00      0.0   10.41000.  5 A IN
H2O         HNO+                    NO          H3O+                                2.30E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        C3O                     HC3O+       CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3O+        C3O                     HC3O+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C3O                     HC3O+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
HC3O+       E-                      C3O         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C2H5OH2+    E-                      C2H5OH      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2H5OH                  C2H5OH2+    H2O                                 2.80E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        C2H5OH                  C2H5OH2+    CO                                  2.20E-09    -0.50      0.0   10.41000.  5 A IN
CH2CN+      E-                      CN          CH2                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH2CN+      E-                      HCN         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H+          CH2CN                   CH2CN+      H                                   6.30E-09    -0.50      0.0   10.  300.  5 C CE
H3+         SO2                     HSO2+       H2                                  1.30E-09    -0.50      0.0   10.41000.  5 A IN
H+          SO2                     SO2+        H                                   5.78E-09    -0.50      0.0   10.  300.  5 A CE
He+         SO2                     S+          O2          He                      9.00E-10    -0.50      0.0   10.41000.  5 A IN
SO2                                 SO          O                                   1.30E-17     0.00    922.0   10.41000.  2 C CR
HSO2+       E-                      SO2         H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
H3+         HF                      H2F+        H2                                  1.20E-08    -0.50      0.0   10.41000.  5 A IN
C+          HF                      CF+         H                                   7.20E-09    -0.50      0.0   10.41000.  5 A IN
He+         HF                      F+          H           He                      1.10E-08    -0.50      0.0   10.41000.  5 A IN
OH          F                       HF          O                                   1.60E-10     0.00      0.0   10.  300.  5 B NN
H2F+        E-                      HF          H                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
H2O         F                       HF          OH                                  1.40E-11     0.00      0.0  240.  380.  5 A NN
SiF+        E-                      Si          F                                   2.00E-07    -0.50      0.0   10.  300.  5 B DR
CH3CCH+     E-                      CH3         C2H                                 2.60E-07    -0.67      0.0   10.  300.  5 C DR
H           C4H3+                   C4H4+                                           6.00E-14    -0.70      0.0   10.  300.  5 A RA
H3+         C2H5OH                  CH3+        CH4         H2O                     1.50E-09    -0.50      0.0   10.41000.  5 A IN
C+          C2H5OH                  H3CO+       C2H3                                1.50E-09    -0.50      0.0   10.41000.  5 C IN
C+          C2H5OH                  C2H5OH+     C                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
HSO2+       E-                      SO          OH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
HSO2+       E-                      SO          O           H                       1.00E-07    -0.50      0.0   10.  300.  5 C DR
H2O         HSO2+                   SO2         H3O+                                2.13E-09    -0.50      0.0   10.41000.  5 A IN
H2          SO2+                    HSO2+       H                                   5.00E-11     0.00      0.0   10.41000.  5 A IN
He+         SO2                     SO2+        He                                  4.30E-10    -0.50      0.0   10.41000.  5 A CE
H2F+        E-                      H2          F                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
CF+         E-                      C           F                                   5.20E-08    -0.80      0.0   10.  300.  5 B DR
H2          F+                      H2+         F                                   6.24E-10     0.00      0.0   10.41000.  5 A IN
H2          F+                      HF+         H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
H3CO+       E-                      CO          H2          H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
H3CO+       E-                      HCO         H           H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
H3CO+       E-                      H2CO        H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
HCO+        H2CO                    H3CO+       CO                                  3.30E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        H2CO                    H3CO+       H2O                                 3.40E-09    -0.50      0.0   10.41000.  5 A IN
H3+         H2CO                    H3CO+       H2                                  6.30E-09    -0.50      0.0   10.41000.  5 A IN
O           CH5+                    H3CO+       H2                                  4.40E-12     0.00      0.0   10.41000.  5 A IN
C2H5OH+     E-                      C2H5        OH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H5OH+     E-                      H2CO        CH4                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H5OH                              C2H5OH+     E-                                  1.30E-17     0.00   1368.0   10.41000.  2 C CR
H+          C2H5OH                  C2H5OH+     H                                   3.00E-09    -0.50      0.0   10.  300.  5 C CE
H2          HF+                     H2F+        H                                   1.30E-09     0.00      0.0   10.41000.  5 A IN
O           C2H5                    CH3CHO      H                                   1.33E-10     0.00      0.0   10. 2500.  5 A NN
O           C2H5                    H2CO        CH3                                 2.67E-11     0.00      0.0   10. 2500.  5 A NN
C2H5OH                              C2H5        OH                                  1.30E-17     0.00   2153.5   10.41000.  2 C CR
He+         HCN                     N           CH+         He                      6.51E-10    -0.50      0.0   10.41000.  5 A IN
CH3+        E-                      CH2         H                                   7.75E-08    -0.50      0.0   10.  300.  5 A DR
H-          CO                      HCO         E-                                  5.00E-11     0.00      0.0   10.41000.  5 C AD
CH3         O2                      HCO         H2O                                 1.66E-12     0.00      0.0 1700. 2000.  5 A NN
C3H2+       E-                      C2H2        C                                   3.00E-08    -0.50      0.0   10.  300.  5 C DR
CH3CHO                              CH3CHO+     E-                                  1.30E-17     0.00    559.5   10.41000.  2 C CR
C+          NH2                     HCN+        H                                   1.10E-09    -0.50      0.0   10.41000.  5 C IN
N+          O2                      O2+         N                                   3.11E-10     0.00      0.0   10.41000.  5 A CE
SO                                  SO+         E-                                  1.30E-17     0.00    250.0   10.41000.  2 A CR
C+          C5H                     C6+         H                                   3.00E-09    -0.50      0.0   10.41000.  5 C IN
C4H                                 C4          H                                   1.30E-17     0.00   2500.0   10.41000.  2 A CR
C3H2                                C3H         H                                   1.30E-17     0.00   2500.0   10.41000.  2 A CR
C+          C3O                     C4+         O                                   3.33E-10    -0.50      0.0   10.41000.  5 C IN
N+          O2                      NO+         O                                   2.63E-10     0.00      0.0   10.41000.  5 A IN
CH2CO                               CH2CO+      E-                                  1.30E-17     0.00    609.0   10.41000.  2 C CR
NO          C4H2+                   NO+         H2CCCC                              3.80E-10     0.00      0.0   10.41000.  5 A CE
C+          SiC3                    SiC3+       C                                   2.00E-09    -0.50      0.0   10.  300.  5 C CE
HCO+        C8H                     C8H2+       CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
CN          H2CCCC                  HC5N        H                                   2.72E-10    -0.52     19.0   10.  300.  5 C NN
H3+         C5N                     HC5N+       H2                                  8.00E-09    -0.50      0.0   10.41000.  5 C IN
N           CH3C6H+                 H3C7N+      H                                   1.00E-10     0.00      0.0   10.41000.  5 C IN
H2C3H+      H2CCCC                  C7H5+                                           1.00E-13    -2.50      0.0   10.  300.  5 C RA
C3H3+       H2CCCC                  C7H5+                                           1.00E-13    -2.50      0.0   10.  300.  5 C RA
HCO+        C7N                     HC7N+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        H2CCC                   H2C3H+      CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
C4H2+       C5H2                    C9H3+       H                                   2.20E-09    -0.50      0.0   10.41000.  5 C IN
C4H3+       C5H2                    C9H4+       H                                   7.00E-10    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C4H                     C7H2+       H2                                  7.50E-10    -0.50      0.0   10.41000.  5 C IN
C3H3+       C4H                     C7H2+       H2                                  7.50E-10    -0.50      0.0   10.41000.  5 C IN
N           C9H                     C9N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
HCO+        C9N                     HC9N+       CO                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiNC                    SiNCH+      CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3C3O+      E-                      C3O         H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
C2H3+       CO                      H3C3O+                                          2.00E-15    -2.50      0.0   10.  300.  5 C RA
