H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H2          HCN+                    HCNH+       H                                   9.00E-10     0.00      0.0   10.41000.  5 A IN
N           C3H2+                   HCNH+       C2                                  6.60E-12     0.00      0.0   10.41000.  5 B IN
NH          O                       NO          H                                   1.16E-10     0.00      0.0  250. 3000.  5 A NN
C           NH                      CN          H                                   1.20E-10     0.00      0.0   10.  300.  5 C NN
NH          O                       OH          N                                   1.16E-11     0.00      0.0  250. 3000.  5 A NN
H-          N                       NH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
CH          NO                      CO          NH                                  1.99E-10     0.00      0.0  298.  298.  5 A NN
N           C2H3                    C2H2        NH                                  1.20E-11     0.00      0.0   10.  300.  5 C NN
NH3+        E-                      NH          H           H                       1.55E-07    -0.50      0.0   10.  300.  5 A DR
O           C2H4+                   HCO+        CH3                                 8.40E-11     0.00      0.0   10.41000.  5 B IN
H2          CH                      CH3                                             5.09E-18    -0.71     11.6   10.  300.  5 B RA
CH5+        E-                      CH3         H2                                  1.40E-08    -0.52      0.0   10.  300.  5 A DR
CH3OH2+     E-                      H2CO        H2          H                       8.90E-07    -0.59      0.0   10.  300.  5 A DR
CH3OH2+     E-                      CH3         OH          H                       4.54E-07    -0.59      0.0   10.  300.  5 A DR
CH3OH2+     E-                      CH2         H2O         H                       1.87E-07    -0.59      0.0   10.  300.  5 A DR
CH3OH2+     E-                      CH3         H2O                                 8.01E-08    -0.59      0.0   10.  300.  5 A DR
CH3+        H2O                     CH3OH2+                                         2.00E-12     0.00      0.0   10.  300.  5 A RA
H3CO+       E-                      CO          H2          H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
H3CO+       E-                      HCO         H           H                       2.00E-07    -0.50      0.0   10.  300.  5 C DR
O           CH5+                    H3CO+       H2                                  4.40E-12     0.00      0.0   10.41000.  5 A IN
H3O+        CH3CHO                  CH3CHOH+    H2O                                 3.60E-09    -0.50      0.0   10.41000.  5 A IN
H+          CH3CHO                  CH3CHO+     H                                   3.60E-09    -0.50      0.0   10.  300.  5 C CE
He+         CH3CHO                  HCO         CH3+        He                      3.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        CH3CHO                  CH3CHOH+    CO                                  3.40E-09    -0.50      0.0   10.41000.  5 A IN
C+          CH3CHO                  CH3CO+      CH                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
C+          CH3CHO                  CH3CHO+     C                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
CH3+        CH3CHO                  H2CO        C2H5+                               3.03E-09    -0.50      0.0   10.41000.  5 A IN
CH3CHOH+    E-                      CH3CHO      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           C2H4                    C3H3        H                                   3.00E-10    -0.11      0.0   15.  300.  5 A NN
H2          CH4+                    CH5+        H                                   3.40E-11    -1.35     23.0   15.  300.  5 A IN
H           CH5+                    CH4+        H2                                  1.50E-10     0.00      0.0   10.41000.  5 A IN
CH3+        HCO                     CO          CH4+                                4.40E-10    -0.50      0.0   10.41000.  5 C IN
C2H5+       E-                      C2H2        H2          H                       8.12E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H3        H           H                       7.56E-08    -0.79      0.0   10.  300.  5 A DR
